Timestamp,Python CPU Percentage,Uvicorn CPU Percentage,Python Memory Percentage,Uvicorn Memory Percentage
17:15:45,"(2.0, 0)","(10.13776036789231, 0)"
17:15:46,"(4.9, 0)","(10.13776036789231, 0)"
17:15:47,"(4.0, 0)","(10.13776036789231, 0)"
17:15:48,"(3.0, 0)","(10.13776036789231, 0)"
17:15:49,"(4.0, 0)","(10.13776036789231, 0)"
17:15:50,"(6.8, 0)","(10.13776036789231, 0)"
17:15:51,"(3.0, 0)","(10.13776036789231, 0)"
17:15:52,"(4.0, 0)","(10.13776036789231, 0)"
17:15:53,"(4.0, 0)","(10.13776036789231, 0)"
17:15:54,"(4.9, 0)","(10.13776036789231, 0)"
17:15:55,"(3.0, 0)","(10.13776036789231, 0)"
17:15:56,"(5.8, 0)","(10.13776036789231, 0)"
17:15:57,"(4.0, 0)","(10.13776036789231, 0)"
17:15:58,"(3.0, 0)","(10.13776036789231, 0)"
17:15:59,"(4.9, 0)","(10.13776036789231, 0)"
17:16:00,"(4.0, 0)","(10.13776036789231, 0)"
17:16:01,"(3.9, 0)","(10.13776036789231, 0)"
17:16:02,"(4.0, 0)","(10.13776036789231, 0)"
17:16:03,"(4.0, 0)","(10.13776036789231, 0)"
17:16:04,"(4.0, 0)","(10.13776036789231, 0)"
17:16:05,"(4.9, 0)","(10.13776036789231, 0)"
17:16:06,"(3.0, 0)","(10.13776036789231, 0)"
17:16:07,"(3.0, 0)","(10.13776036789231, 0)"
17:16:08,"(5.9, 0)","(10.13776036789231, 0)"
17:16:09,"(7.9, 0)","(10.13776036789231, 0)"
17:16:10,"(8.8, 0)","(10.13776036789231, 0)"
17:16:11,"(3.0, 0)","(10.13776036789231, 0)"
17:16:12,"(3.0, 0)","(10.13776036789231, 0)"
17:16:13,"(4.9, 0)","(10.13776036789231, 0)"
17:16:14,"(4.0, 0)","(10.13776036789231, 0)"
17:16:15,"(4.0, 0)","(10.13776036789231, 0)"
17:16:16,"(8.8, 0)","(10.13776036789231, 0)"
17:16:17,"(4.9, 0)","(10.13776036789231, 0)"
17:16:18,"(3.0, 0)","(10.13776036789231, 0)"
17:16:19,"(4.0, 0)","(10.13776036789231, 0)"
17:16:20,"(5.8, 0)","(10.13776036789231, 0)"
17:16:21,"(3.0, 0)","(10.13776036789231, 0)"
17:16:23,"(4.0, 0)","(10.13776036789231, 0)"
17:16:24,"(9.7, 0)","(10.13776036789231, 0)"
17:16:25,"(4.0, 0)","(10.13776036789231, 0)"
17:16:26,"(4.0, 0)","(10.13776036789231, 0)"
17:16:27,"(4.0, 0)","(10.13776036789231, 0)"
17:16:28,"(4.0, 0)","(10.13776036789231, 0)"
17:16:29,"(5.8, 0)","(10.13776036789231, 0)"
17:16:30,"(3.0, 0)","(10.13776036789231, 0)"
17:16:31,"(4.0, 0)","(10.13776036789231, 0)"
17:16:32,"(4.0, 0)","(10.13776036789231, 0)"
17:16:33,"(3.0, 0)","(10.13776036789231, 0)"
17:16:34,"(4.0, 0)","(10.13776036789231, 0)"
17:16:35,"(4.9, 0)","(10.13776036789231, 0)"
17:16:36,"(3.0, 0)","(10.13776036789231, 0)"
17:16:37,"(4.0, 0)","(10.13776036789231, 0)"
17:16:38,"(4.0, 0)","(10.13776036789231, 0)"
17:16:39,"(5.8, 0)","(10.13776036789231, 0)"
17:16:40,"(3.0, 0)","(10.13776036789231, 0)"
17:16:41,"(5.0, 0)","(10.13776036789231, 0)"
17:16:42,"(4.0, 0)","(10.13776036789231, 0)"
17:16:43,"(3.9, 0)","(10.13776036789231, 0)"
17:16:44,"(3.9, 0)","(10.13776036789231, 0)"
17:16:45,"(3.9, 0)","(10.13776036789231, 0)"
17:16:46,"(4.0, 0)","(10.13776036789231, 0)"
17:16:47,"(4.0, 0)","(10.13776036789231, 0)"
17:16:48,"(4.9, 0)","(10.13776036789231, 0)"
17:16:49,"(3.0, 0)","(10.13776036789231, 0)"
17:16:50,"(4.9, 0)","(10.13776036789231, 0)"
17:16:51,"(3.0, 0)","(10.13776036789231, 0)"
17:16:52,"(4.0, 0)","(10.13776036789231, 0)"
17:16:53,"(4.0, 0)","(10.13776036789231, 0)"
17:16:54,"(4.0, 0)","(10.13776036789231, 0)"
17:16:55,"(4.9, 0)","(10.13776036789231, 0)"
17:16:56,"(4.0, 0)","(10.13776036789231, 0)"
17:16:57,"(3.0, 0)","(10.13776036789231, 0)"
17:16:58,"(4.0, 0)","(10.13776036789231, 0)"
17:16:59,"(4.9, 0)","(10.13776036789231, 0)"
17:17:00,"(5.0, 0)","(10.13776036789231, 0)"
17:17:01,"(4.0, 0)","(10.13776036789231, 0)"
17:17:02,"(4.0, 0)","(10.13776036789231, 0)"
17:17:03,"(4.0, 0)","(10.13776036789231, 0)"
17:17:04,"(4.9, 0)","(10.13776036789231, 0)"
17:17:05,"(4.0, 0)","(10.13776036789231, 0)"
17:17:06,"(4.0, 0)","(10.13776036789231, 0)"
17:17:08,"(2.0, 0)","(10.13776036789231, 0)"
17:17:09,"(4.9, 0)","(10.13776036789231, 0)"
17:17:10,"(4.9, 0)","(10.13776036789231, 0)"
